Time	Displacement	BinCount	Variance	Velocity	Label
358	35.443	33	6.25338	0.118	471194582318786
359	35.565	33	6.28353	0.122	471194582318786
360	35.774	33	6.22181	0.209	471194582318786
361	35.856	33	6.22465	0.082	471194582318786
362	35.937	33	6.2	0.081	471194582318786
363	36.059	33	6.21285	0.122	471194582318786
364	36.152	33	6.1987	0.093	471194582318786
365	36.181	33	6.20155	0.029	471194582318786
366	36.359	33	6.20235	0.178	471194582318786
367	36.451	33	6.1948	0.092	471194582318786
368	36.626	33	6.12659	0.175	471194582318786
369	36.767	33	6.1374	0.141	471194582318786
370	36.845	32	6.18296	0.078	471194582318786
371	36.966	32	6.17291	0.121	471194582318786
372	36.992	31	6.15377	0.026	471194582318786
373	37.169	32	6.0984	0.177	471194582318786
374	37.298	31	6.04146	0.129	471194582318786
375	37.404	32	6.03215	0.106	471194582318786
376	37.401	32	6.02422	-0.003	471194582318786
377	37.535	31	6.00656	0.134	471194582318786
378	37.615	30	5.97334	0.08	471194582318786
379	37.71	30	5.99474	0.095	471194582318786
380	37.769	30	6.01678	0.059	471194582318786
381	37.901	30	6.06219	0.132	471194582318786
382	37.963	30	6.07582	0.062	471194582318786
383	38.053	30	6.14672	0.09	471194582318786
384	38.125	30	6.11387	0.072	471194582318786
385	38.228	30	6.1216	0.103	471194582318786
386	38.268	30	6.06211	0.04	471194582318786
387	38.385	30	6.04407	0.117	471194582318786
388	38.492	29	6.00799	0.107	471194582318786
389	38.624	29	6.02442	0.132	471194582318786
390	38.729	29	5.99605	0.105	471194582318786
391	38.773	29	6.01826	0.044	471194582318786
392	38.883	29	6.01692	0.11	471194582318786
393	38.932	29	6.01825	0.049	471194582318786
394	38.993	29	6.0276	0.061	471194582318786
395	39.08	29	6.00521	0.087	471194582318786
396	39.17	29	6.02595	0.09	471194582318786
397	39.302	29	6.02991	0.132	471194582318786
398	39.386	29	6.03523	0.084	471194582318786
399	39.556	28	6.00024	0.17	471194582318786
400	39.721	28	5.99359	0.165	471194582318786
401	39.842	28	5.9757	0.121	471194582318786
402	39.942	28	5.94732	0.1	471194582318786
403	40.044	28	5.94685	0.102	471194582318786
404	40.111	28	5.88266	0.067	471194582318786
405	40.294	28	5.84795	0.183	471194582318786
406	40.342	28	5.85005	0.048	471194582318786
407	40.418	28	5.88194	0.076	471194582318786
408	40.593	28	5.90934	0.175	471194582318786
409	40.675	28	5.90867	0.082	471194582318786
410	40.773	28	5.88706	0.098	471194582318786
411	40.804	28	5.85402	0.031	471194582318786
412	40.896	28	5.82985	0.092	471194582318786
